id_ct,id_station,date_set,date_capt,date_dayno,time,name_order,name_com,name_sci,name_code,count_pic,count_ind,comments
19,CT2C,2014-09-19T00:00:00Z,2014-10-03T00:00:00Z,15,16:31:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,1,Appears to just be standing
19,CT2C,2014-09-19T00:00:00Z,2014-10-05T00:00:00Z,17,14:14:00,M,Collared Peccary,Pecari tajacu,PECTAJ,2,2,Appear to just be standing
19,CT2C,2014-09-19T00:00:00Z,2014-10-06T00:00:00Z,18,09:36:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be foraging
19,CT2C,2014-09-19T00:00:00Z,2014-10-07T00:00:00Z,19,08:57:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,1,Appears to just be standing
19,CT2C,2014-09-19T00:00:00Z,2014-10-07T00:00:00Z,19,13:56:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,2,2,Appears to just be standing
19,CT2C,2014-09-19T00:00:00Z,2014-10-07T00:00:00Z,19,14:43:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,2,2,Appears to just be standing and eating
19,CT2C,2014-09-19T00:00:00Z,2014-10-10T00:00:00Z,22,05:14:00,M,Collared Peccary,Pecari tajacu,PECTAJ,2,3,Appears to running
19,CT2C,2014-09-19T00:00:00Z,2014-10-12T00:00:00Z,24,17:26:00,M,Jaguarundi,Herpailurus yagouaroundi,HERYAG,2,1,"left side, male"
19,CT2C,2014-09-19T00:00:00Z,2014-10-14T00:00:00Z,26,08:50:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,1,Appears to just be standing
19,CT2C,2014-09-19T00:00:00Z,2014-10-18T00:00:00Z,30,14:09:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be foraging
19,CT2C,2014-09-19T00:00:00Z,2014-10-21T00:00:00Z,33,03:25:00,M,Armadillo,Dasypus sp.,DASSP.,1,1,Appears to running
19,CT2C,2014-09-19T00:00:00Z,2014-10-25T00:00:00Z,37,14:25:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be foraging
19,CT2C,2014-09-19T00:00:00Z,2014-10-27T00:00:00Z,39,12:41:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,1,Appears to just be standing
19,CT2C,2014-09-19T00:00:00Z,2014-10-29T00:00:00Z,41,23:03:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Appears to just be standing
21,CT4R,2014-09-21T00:00:00Z,2014-09-21T00:00:00Z,1,22:33:00,M,Puma,Puma concolor,PUMCON,1,1,"Appears to be walking, Male with a healthy appearance,left side captured"
21,CT4R,2014-09-21T00:00:00Z,2014-09-21T00:00:00Z,1,22:43:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,"Appears to be walking, healthy appearance,left side captured"
21,CT4R,2014-09-21T00:00:00Z,2014-10-04T00:00:00Z,14,16:16:00,M,Jaguar,Panthera onca,PANONC,1,1,"Right side visible, sex cannot be determined"
21,CT4R,2014-09-21T00:00:00Z,2014-10-09T00:00:00Z,19,10:53:00,M,Jaguar,Panthera onca,PANONC,1,1,"Left side visible, sex not determined"
21,CT4R,2014-09-21T00:00:00Z,2014-10-11T00:00:00Z,21,04:51:00,M,Puma,Puma concolor,PUMCON,1,1,"Left side, only rear end visible, apppears to be walking"
21,CT4R,2014-09-21T00:00:00Z,2014-10-22T00:00:00Z,32,21:31:00,M,Puma,Puma concolor,PUMCON,1,1,"Appears to be walking, female, left side, appears to be healthy"
21,CT4R,2014-09-21T00:00:00Z,2014-10-23T00:00:00Z,33,05:22:00,M,Puma,Puma concolor,PUMCON,1,1,"Appears to be walking, female, right side, appears to be healthy"
21,CT4R,2014-09-21T00:00:00Z,2014-10-29T00:00:00Z,39,09:02:00,M,Red Brocket Deer,Mazama americana,MAZAME,1,1,Appears to be walking
21,CT4R,2014-09-21T00:00:00Z,2014-10-29T00:00:00Z,39,19:07:00,M,Puma,Puma concolor,PUMCON,1,1,"Appears to be walking, right side, appears to be healthy"
24,CT5R,2014-09-23T00:00:00Z,2014-10-16T00:00:00Z,24,16:56:00,M,Jaguar,Panthera onca,PANONC,1,1,Left side of the animal
24,CT5R,2014-09-23T00:00:00Z,2014-10-22T00:00:00Z,30,23:17:00,M,Puma,Puma concolor,PUMCON,1,1,The left side of the animal is completely visible. Animal appears slightly malnourished
32,CT3C,2014-09-20T00:00:00Z,2014-09-23T00:00:00Z,4,09:22:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,5,"In one instance, there is either an individual opening one of its wings."
32,CT3C,2014-09-20T00:00:00Z,2014-09-28T00:00:00Z,9,11:06:00,M,Red Brocket Deer,Mazama americana,MAZAME,1,1,Single individual walking passed and looking at the camera.
32,CT3C,2014-09-20T00:00:00Z,2014-10-06T00:00:00Z,17,07:49:00,M,Jaguar,Panthera onca,PANONC,1,1,NA
32,CT3C,2014-09-20T00:00:00Z,2014-10-13T00:00:00Z,24,04:18:00,M,Red Brocket Deer,Mazama americana,MAZAME,1,1,Animal appears to be foraging while passing the camera.
32,CT3C,2014-09-20T00:00:00Z,2014-10-14T00:00:00Z,25,15:02:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,"Possibly a male animal, the animals back it toward the camera."
32,CT3C,2014-09-20T00:00:00Z,2014-10-19T00:00:00Z,30,00:50:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,2,The birds appear to be heading toward the area behind the camera
32,CT3C,2014-09-20T00:00:00Z,2014-10-26T00:00:00Z,37,02:44:00,M,Lowland Paca,Cuniculus paca,CUNPAC,2,1,The rump of the animal apears to have a number a ticks.
32,CT3C,2014-09-20T00:00:00Z,2014-10-27T00:00:00Z,38,13:36:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,2,4,NA
32,CT3C,2014-09-20T00:00:00Z,2014-10-27T00:00:00Z,38,14:56:00,M,Collared Peccary,Pecari tajacu,PECTAJ,3,1,A collared peccary appears to be cicrling the palm in the center of the photograph.
32,CT3C,2014-09-20T00:00:00Z,2014-11-11T00:00:00Z,53,00:31:00,M,Tapir,Tapirus terrestris,TAPTER,1,1,NA
34,CT5O,2014-09-23T00:00:00Z,2014-10-13T00:00:00Z,21,17:53:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,"Right side, bruises on neck, left ankle"
34,CT5O,2014-09-23T00:00:00Z,2014-10-27T00:00:00Z,35,02:42:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,"Right side, same as CDY_0003"
34,CT5O,2014-09-23T00:00:00Z,2014-10-28T00:00:00Z,36,06:34:00,M,Grey Brocket deer,Mazama nemorivaga,MAZNEM,1,1,"Left side, lower body"
34,CT5O,2014-09-23T00:00:00Z,2014-11-03T00:00:00Z,42,06:16:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Left side of body
37,CT1E,2014-09-18T00:00:00Z,2014-09-29T00:00:00Z,12,13:46:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,2,2,Appears to be flocking around the camera
37,CT1E,2014-09-18T00:00:00Z,2014-10-15T00:00:00Z,28,12:49:00,B,Black Curassow,Crax alector,CRAALE,3,1,Just standing in front of the camera
39,CT1B,2014-09-18T00:00:00Z,2014-09-21T00:00:00Z,4,12:11:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be running
39,CT1B,2014-09-18T00:00:00Z,2014-09-27T00:00:00Z,10,18:32:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Appears to be running
39,CT1B,2014-09-18T00:00:00Z,2014-10-01T00:00:00Z,14,17:06:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,"Appears to be running,scar on left side face"
39,CT1B,2014-09-18T00:00:00Z,2014-10-02T00:00:00Z,15,02:55:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Appears to be walking
39,CT1B,2014-09-18T00:00:00Z,2014-10-05T00:00:00Z,18,08:09:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Appears to be walking
39,CT1B,2014-09-18T00:00:00Z,2014-10-05T00:00:00Z,18,23:10:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Appears to be walking
39,CT1B,2014-09-18T00:00:00Z,2014-10-08T00:00:00Z,21,05:31:00,M,Agouti,Dasyprocta leporina,DASLEP,3,1,"Appears to be running,scar on left side face"
39,CT1B,2014-09-18T00:00:00Z,2014-10-11T00:00:00Z,24,05:44:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be walking
39,CT1B,2014-09-18T00:00:00Z,2014-10-11T00:00:00Z,24,18:32:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Appears to be walking
39,CT1B,2014-09-18T00:00:00Z,2014-10-11T00:00:00Z,24,21:58:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Appears to be walking
39,CT1B,2014-09-18T00:00:00Z,2014-10-15T00:00:00Z,28,05:32:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,"Appears to be walking, scar on left side face"
39,CT1B,2014-09-18T00:00:00Z,2014-10-15T00:00:00Z,28,09:27:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,2,2,Just standing
39,CT1B,2014-09-18T00:00:00Z,2014-10-15T00:00:00Z,28,19:08:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,Only rear end is visible
39,CT1B,2014-09-18T00:00:00Z,2014-10-15T00:00:00Z,28,19:26:00,M,Armadillo,Dasypus sp.,DASSP.,1,1,Appears to be foraging
39,CT1B,2014-09-18T00:00:00Z,2014-10-18T00:00:00Z,31,19:15:00,M,Red Brocket deer,Mazama americana,MAZAME,2,1,Appears to be walking
39,CT1B,2014-09-18T00:00:00Z,2014-11-07T00:00:00Z,51,06:52:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be walking
39,CT1B,2014-09-18T00:00:00Z,2014-11-08T00:00:00Z,52,08:28:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,"Appears to be walking, male"
40,CT4A,2014-09-21T00:00:00Z,2014-09-23T00:00:00Z,3,08:09:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,2,Left side of body
